06.30,wake up,alarm01
06.45,have your breakfast,
07.00,have a shower and a shave,
07.35,leave for work,
17.00,work on improving Athena for an hour,
18.00,stop work for dinner. Have the tagliatelle and a banana,alarm02
19.00,vacuum your bedroom carpet,
19.30,take the bins out,
19.40,work out for an hour,
20.40,cool down for ten minutes,
20.50,take a shower,
21.00,relax for the rest of the evening,alarm02
22.30,start winding down for bed. Write tomorrow's schedule,alarm03
22.45,be finishing what you're doing and getting your teeth cleaned,
23.00,go to bed,
